CM3,Profitable
-0.31836714790581055,False
-17.297184581726,False
-24.389958687898382,False
-50.25234914475312,False
-10.110806342581352,False
-27.849382984987052,False
-23.48981272422168,False
-35.04856909167712,False
-56.13077795231277,False
-22.585736275248294,False
-5.832989025051454,False
-24.33430503287635,False
-22.017248543513606,False
-34.37204104752987,False
-32.434104965387256,False
-23.943447542563902,False
-28.206442001969044,False
-6.785578902111439,False
-1.3193645296661423,False
0.5414362980217327,True
-16.197495998148767,False
-16.756160648977218,False
-33.29714105571648,False
-17.562263274848462,False
-30.453434516962783,False
-7.446140612901658,False
6.823620419219267,True
0.5639853041529399,True
-35.7003043648019,False
-23.509213570428088,False
-18.121176662643087,False
-6.143669529064436,False
11.181022189233268,True
-10.655685500531348,False
-12.41321493977306,False
-12.767758851130484,False
-28.13586636018386,False
-14.506313376453157,False
-25.659763863992914,False
-2.918029576943347,False
-16.24863226077138,False
-22.666635706718996,False
-30.41651752304977,False
4.927442707117109,True
-27.250210727084323,False
-11.828074786375971,False
-48.67636152185265,False
-11.475392076540064,False
-51.393908325258806,False
-17.931407889198027,False
12.80877907077673,True
-6.506281075646076,False
-4.637299242419992,False
-36.635219617742464,False
-14.09698394437262,False
0.6120934440653194,True
-33.27405490646258,False
-23.120793035227244,False
-43.172349948448314,False
-42.181521148157856,False
-41.44707961456998,False
-7.4193454274425115,False
-42.892579996494405,False
-0.33277849056852205,False
-17.565711341472802,False
-30.88778608463111,False
8.009038423061217,True
-27.030751836625583,False
-5.270166823873598,False
-28.414824635175563,False
-29.042682864400224,False
-2.0132134871568788,False
-50.75200743767478,False
-30.794755541926122,False
-33.90966352285514,False
-6.307503355302398,False
-34.10578403861241,False
5.314611923506661,True
-8.394360692526273,False
-5.814137337736081,False
-16.746989919896833,False
-7.404223498778961,False
-9.288751425018248,False
-18.23847059868591,False
-10.92181213343498,False
-36.970352859342455,False
-14.732551500299557,False
-15.012894889518002,False
-56.356901393690435,False
-6.2295686791447515,False
-4.016950966586254,False
-14.403147253489944,False
-14.770048488050897,False
-44.94283434182403,False
-41.758574177493315,False
-14.644745315259371,False
-12.649045839708624,False
-27.57066458749078,False
-18.16714126980542,False
-7.2362837479612985,False
-45.86394269429367,False
